gene,chromatin_change,change_score
C1orf159,Tx-Het,-4
ATAD3B,Het-Tx,4
TNFRSF14,Tx-ReprPCWk,-2
KCNAB2,Tx-ReprPCWk,-2
TNFRSF25,ReprPC-Tx,3
ESPN,ReprPC-Tx,3
PLEKHG5,ReprPC-Tx,3
PIK3CD,Het-Tx,4
VPS13D,Tx-Het,-4
FBLIM1,ReprPCWk-Tx,2
CPLANE2,Tx-ReprPCWk,-2
CROCC,Tx-ReprPCWk,-2
PADI2,ReprPC-Tx,3
AKR7A3,Tx-ReprPCWk,-2
ZNF436,Het-Tx,4
RCAN3,ReprPCWk-Tx,2
CEP85,Het-Tx,4
IFI6,Tx-ReprPCWk,-2
MATN1,Tx-ReprPCWk,-2
SDC3,Tx-ReprPCWk,-2
FNDC5,Tx-ReprPCWk,-2
GJB5,Tx-ReprPC,-3
C1orf216,Tx-ReprPCWk,-2
MYCL,Tx-ReprPCWk,-2
COL9A2,ReprPCWk-Tx,2
EXO5,Tx-Het,-4
ZNF684,Het-Tx,4
FOXJ3,Het-Tx,4
ZMYND12,Tx-ReprPCWk,-2
ZSWIM5,Het-Tx,4
TESK2,Tx-Het,-4
ZFYVE9,ReprPCWk-Tx,2
GLIS1,Tx-ReprPCWk,-2
PRKAA2,Het-Tx,4
DAB1,Tx-ReprPCWk,-2
ALG6,Tx-Het,-4
RAVER2,Het-Tx,4
IL12RB2,Tx-ReprPCWk,-2
DEPDC1,ReprPCWk-Tx,2
ANKRD13C,Tx-Het,-4
IFI44L,Tx-Het,-4
HS2ST1,Het-Tx,4
GBP4,Tx-ReprPCWk,-2
LRRC8C,ReprPCWk-Tx,2
ZNF326,Het-Tx,4
BTBD8,Tx-Het,-4
RPAP2,Tx-Het,-4
GFI1,ReprPCWk-Tx,2
EVI5,Tx-Het,-4
ABCD3,Tx-Het,-4
CNN3,ReprPCWk-Tx,2
TLCD4,Tx-Het,-4
RWDD3,Het-Tx,4
SLC35A3,Tx-Het,-4
S1PR1,Tx-ReprPCWk,-2
SORT1,Het-Tx,4
GSTM3,ReprPCWk-Tx,2
ALX3,Tx-ReprPCWk,-2
CD53,Het-Tx,4
LRIF1,Tx-Het,-4
RAP1A,Tx-Het,-4
CD2,Tx-ReprPCWk,-2
TENT5C,Tx-ReprPCWk,-2
SRGAP2B,Het-Tx,4
ANKRD35,Tx-ReprPCWk,-2
TUFT1,ReprPCWk-Tx,2
RORC,Tx-ReprPCWk,-2
TRIM46,Tx-ReprPCWk,-2
PKLR,ReprPC-Tx,3
ASH1L,Het-Tx,4
IQGAP3,ReprPCWk-Tx,2
MNDA,ReprPCWk-Tx,2
KCNJ10,ReprPC-Tx,3
CD48,ReprPC-Tx,3
PBX1,Tx-ReprPCWk,-2
POU2F1,Tx-Het,-4
RCSD1,Tx-ReprPCWk,-2
FAM20B,Het-Tx,4
QSOX1,ReprPCWk-Tx,2
NIBAN1,Tx-ReprPC,-3
SWT1,Tx-Het,-4
PTGS2,ReprPCWk-Tx,2
KCNT2,Tx-Het,-4
NEK7,Tx-Het,-4
SYT2,Tx-ReprPC,-3
PPFIA4,ReprPCWk-Tx,2
PIK3C2B,ReprPCWk-Tx,2
RASSF5,Tx-ReprPCWk,-2
FCAMR,Tx-ReprPCWk,-2
C4BPA,Tx-Het,-4
INTS7,Tx-ReprPCWk,-2
NSL1,Tx-Het,-4
PROX1,ReprPC-Tx,3
RRP15,Tx-Het,-4
SLC30A10,ReprPCWk-Tx,2
MTARC2,ReprPCWk-Tx,2
HLX,Tx-ReprPCWk,-2
DNAH14,Tx-Het,-4
LIN9,Tx-Het,-4
COQ8A,Het-Tx,4
CDC42BPA,Tx-Het,-4
ZNF678,Tx-Het,-4
CCSAP,Het-Tx,4
ARV1,Tx-ReprPC,-3
GPR137B,Tx-Het,-4
SDCCAG8,Tx-Het,-4
AKT3,Tx-Het,-4
ZNF669,Het-Tx,4
ZNF124,Het-Tx,4
TRIM58,Tx-Het,-4
TMEM18,Tx-Het,-4
RNF144A,ReprPCWk-Tx,2
ASAP2,ReprPCWk-Tx,2
YWHAQ,Het-Tx,4
TAF1B,Het-Tx,4
RRM2,ReprPCWk-Tx,2
MYCN,ReprPC-Tx,3
CYRIA,Tx-ReprPCWk,-2
KCNS3,Tx-ReprPCWk,-2
NT5C1B,Tx-Het,-4
LDAH,Het-Tx,4
KLHL29,Tx-ReprPCWk,-2
UBXN2A,Het-Tx,4
NCOA1,Tx-Het,-4
ADCY3,Tx-ReprPC,-3
CENPA,Het-Tx,4
CGREF1,ReprPC-Tx,3
MPV17,ReprPCWk-Tx,2
FNDC4,Tx-ReprPCWk,-2
FOSL2,ReprPCWk-Tx,2
LBH,Tx-ReprPC,-3
LCLAT1,Het-Tx,4
BIRC6,Tx-Het,-4
RASGRP3,Tx-ReprPCWk,-2
CEBPZ,Het-Tx,4
CYP1B1,Tx-ReprPCWk,-2
ATL2,Tx-Het,-4
PKDCC,ReprPC-Tx,3
MTA3,Tx-Het,-4
THADA,Tx-Het,-4
RHOQ,Het-Tx,4
MSH2,Het-Tx,4
ASB3,Het-Tx,4
VRK2,Tx-Het,-4
FANCL,Het-Tx,4
WDPCP,Tx-Het,-4
LGALSL,ReprPCWk-Tx,2
MEIS1,Tx-ReprPC,-3
VAX2,ReprPCWk-Tx,2
EXOC6B,Tx-Het,-4
SLC4A5,Tx-ReprPCWk,-2
HK2,ReprPCWk-Tx,2
POLE4,Het-Tx,4
EVA1A,Tx-Het,-4
RPIA,Het-Tx,4
ZNF2,Het-Tx,4
ZNF892,Tx-Het,-4
ZAP70,Tx-ReprPCWk,-2
MRPS9,Tx-Het,-4
FHL2,ReprPCWk-Tx,2
IL1RN,ReprPCWk-Tx,2
PAX8,Tx-ReprPCWk,-2
ACTR3,Het-Tx,4
INHBB,Tx-ReprPC,-3
GPR17,Tx-ReprPCWk,-2
PTPN18,Tx-ReprPCWk,-2
GPR39,Tx-Het,-4
RAB3GAP1,Het-Tx,4
ORC4,Tx-Het,-4
MBD5,Tx-Het,-4
RBM43,Tx-Het,-4
ARL5A,Het-Tx,4
FMNL2,ReprPCWk-Tx,2
PRPF40A,Het-Tx,4
PKP4,Het-Tx,4
LY75,ReprPCWk-Tx,2
CSRNP3,Tx-ReprPCWk,-2
GALNT3,Tx-ReprPCWk,-2
BBS5,Tx-ReprPCWk,-2
FASTKD1,Tx-Het,-4
UBR3,Het-Tx,4
CDCA7,ReprPCWk-Tx,2
HOXD3,ReprPCWk-Tx,2
PDE11A,Tx-ReprPC,-3
ITGA4,ReprPC-Tx,3
TFPI,Tx-Het,-4
GLS,ReprPCWk-Tx,2
MOB4,Het-Tx,4
FTCDNL1,Tx-Het,-4
FAM117B,Het-Tx,4
CARF,Tx-Het,-4
CYP20A1,Tx-Het,-4
ABI2,Het-Tx,4
INO80D,Tx-Het,-4
CREB1,Het-Tx,4
FN1,ReprPCWk-Tx,2
MREG,Tx-Het,-4
USP37,Tx-Het,-4
MOGAT1,Tx-ReprPCWk,-2
COL4A4,Tx-ReprPCWk,-2
SP110,Het-Tx,4
CAB39,Het-Tx,4
PDE6D,Tx-ReprPCWk,-2
DIS3L2,Het-Tx,4
SNORC,ReprPCWk-Tx,2
USP40,Tx-Het,-4
MSL3B,Tx-ReprPCWk,-2
LRRFIP1,Tx-ReprPCWk,-2
SCLY,Het-Tx,4
NDUFA10,Het-Tx,4
ANKMY1,Het-Tx,4
GPR35,ReprPCWk-Tx,2
BOK,ReprPCWk-Tx,2
ING5,Het-Tx,4
PRRT3,ReprPCWk-Tx,2
IRAK2,Het-Tx,4
VGLL4,Het-Tx,4
IQSEC1,ReprPCWk-Tx,2
NUP210,Het-Tx,4
NR2C2,Tx-Het,-4
COLQ,Tx-ReprPCWk,-2
BTD,Tx-Het,-4
SLC4A7,Het-Tx,4
CMC1,Het-Tx,4
GPD1L,ReprPCWk-Tx,2
VILL,Tx-ReprPC,-3
MYRIP,Tx-Het,-4
ENTPD3,Tx-ReprPCWk,-2
ULK4,ReprPCWk-Tx,2
TRAK1,Het-Tx,4
POMGNT2,Het-Tx,4
TCAIM,Tx-Het,-4
ZNF197,Het-Tx,4
ZNF501,Tx-Het,-4
KIAA1143,Tx-Het,-4
CDCP1,Tx-Het,-4
COL7A1,Tx-ReprPCWk,-2
CELSR3,ReprPCWk-Tx,2
SLC38A3,ReprPC-Tx,3
PARP3,Tx-ReprPCWk,-2
GPR62,ReprPCWk-Tx,2
PCBP4,ReprPCWk-Tx,2
SEMA3G,ReprPCWk-Tx,2
NEK4,Het-Tx,4
ITIH1,Tx-ReprPCWk,-2
CHDH,ReprPCWk-Tx,2
IL17RB,Tx-ReprPCWk,-2
PRICKLE2,Tx-ReprPCWk,-2
ADAMTS9,Tx-ReprPC,-3
LRIG1,ReprPCWk-Tx,2
SUCLG2,Tx-Het,-4
CNTN3,Tx-Het,-4
PROS1,Tx-Het,-4
DCBLD2,Tx-Het,-4
TOMM70,Tx-Het,-4
IMPG2,Tx-ReprPC,-3
SENP7,Tx-Het,-4
BOC,Tx-ReprPCWk,-2
NR1I2,ReprPCWk-Tx,2
RABL3,Tx-Het,-4
CD86,ReprPCWk-Tx,2
HACD2,Tx-Het,-4
CCDC14,Tx-Het,-4
ITGB5,ReprPCWk-Tx,2
SLC12A8,Tx-ReprPCWk,-2
ZNF148,Tx-Het,-4
ABTB1,Tx-ReprPCWk,-2
RAB7A,Het-Tx,4
NEK11,Tx-ReprPCWk,-2
CEP63,Tx-Het,-4
DZIP1L,ReprPCWk-Tx,2
PIK3CB,Tx-Het,-4
ZBTB38,Tx-Het,-4
RASA2,Tx-Het,-4
TFDP2,Het-Tx,4
ATR,Het-Tx,4
SLC9A9,Tx-ReprPCWk,-2
PLOD2,Het-Tx,4
RNF13,Tx-Het,-4
EIF2A,Het-Tx,4
AADAC,Tx-Het,-4
ARHGEF26,Tx-Het,-4
SLITRK3,Tx-ReprPCWk,-2
PLD1,Het-Tx,4
FNDC3B,Het-Tx,4
CHRD,ReprPC-Tx,3
ETV5,Het-Tx,4
HRG,Tx-ReprPCWk,-2
RTP4,Tx-ReprPCWk,-2
GMNC,Tx-ReprPCWk,-2
CPN2,ReprPC-Tx,3
ACAP2,Het-Tx,4
PIGX,Tx-Het,-4
PAK2,Tx-Het,-4
PIGZ,Tx-ReprPC,-3
MELTF,ReprPCWk-Tx,2
DLG1,Het-Tx,4
SPON2,ReprPCWk-Tx,2
NELFA,Tx-Het,-4
MSANTD1,Tx-ReprPCWk,-2
MSX1,ReprPCWk-Tx,2
SORCS2,Tx-ReprPCWk,-2
ZNF518B,Tx-ReprPCWk,-2
LDB2,Tx-Het,-4
NCAPG,Het-Tx,4
PACRGL,Het-Tx,4
SEL1L3,Tx-ReprPCWk,-2
KLB,ReprPCWk-Tx,2
SMIM14,Tx-Het,-4
RHOH,Tx-ReprPCWk,-2
TEC,Tx-Het,-4
AASDH,Tx-Het,-4
SULT1B1,Tx-Het,-4
MTHFD2L,Tx-ReprPCWk,-2
CCDC158,Tx-Het,-4
HSD17B11,Het-Tx,4
HERC6,Tx-ReprPCWk,-2
HERC5,Tx-ReprPCWk,-2
HERC3,Tx-Het,-4
DAPP1,ReprPCWk-Tx,2
DNAJB14,Tx-Het,-4
MANBA,Het-Tx,4
CENPE,Het-Tx,4
PAPSS1,Het-Tx,4
ELOVL6,ReprPCWk-Tx,2
PDE5A,Tx-Het,-4
ANKRD50,Het-Tx,4
LARP1B,Tx-Het,-4
ARHGAP10,Tx-Het,-4
MAB21L2,ReprPC-Tx,3
GATB,Tx-Het,-4
CTSO,Tx-Het,-4
FNIP2,Het-Tx,4
CPE,ReprPCWk-Tx,2
SH3RF1,ReprPCWk-Tx,2
MFAP3L,Tx-ReprPCWk,-2
AADAT,Tx-ReprPCWk,-2
GALNT7,Tx-ReprPCWk,-2
WWC2,Het-Tx,4
STOX2,Tx-ReprPCWk,-2
CYP4V2,Tx-Het,-4
LRRC14B,ReprPCWk-Tx,2
CCDC127,ReprPCWk-Tx,2
AHRR,Tx-Het,-4
BASP1,Tx-ReprPCWk,-2
DROSHA,Het-Tx,4
PRLR,ReprPCWk-Tx,2
SPEF2,Tx-Het,-4
CPLANE1,Tx-Het,-4
WDR70,Tx-Het,-4
OXCT1,ReprPCWk-Tx,2
TMEM267,Tx-Het,-4
PARP8,Tx-Het,-4
ITGA1,Tx-Het,-4
ITGA2,ReprPCWk-Tx,2
NDUFS4,Tx-Het,-4
PLPP1,Tx-Het,-4
DEPDC1B,Het-Tx,4
NDUFAF2,Tx-Het,-4
ZSWIM6,Het-Tx,4
IPO11,Tx-Het,-4
RNF180,Tx-Het,-4
NLN,Het-Tx,4
NAIP,ReprPCWk-Tx,2
POLK,Tx-Het,-4
AP3B1,Tx-Het,-4
DMGDH,Tx-Het,-4
BHMT,Tx-ReprPCWk,-2
TENT2,Het-Tx,4
