EnhA2-Quies	118814
EnhA1-Quies	84798
EnhA1-EnhA1	79317
EnhWk-EnhWk	64120
EnhA2-EnhA1	63171
EnhA2-EnhA2	62464
EnhWk-EnhA1	57227
TxWk-TxWk	56730
EnhA1-EnhWk	53242
EnhA2-ReprPCWk	51965
EnhA2-EnhWk	50713
Het-Het	47426
EnhA1-ReprPCWk	37418
EnhA1-EnhA2	35839
Tx-TxWk	34918
TxWk-ReprPCWk	34854
ReprPCWk-ReprPCWk	31660
Quies-Quies	27776
ReprPC-ReprPC	27435
Tx-Tx	25722
EnhWk-EnhA2	25584
EnhA2-ReprPC	19512
ReprPCWk-TxWk	18799
TssA-TssA	18734
TxWk-Tx	17146
TxWk-ReprPC	16490
EnhBiv-EnhBiv	15328
EnhA1-ReprPC	14212
Het-TxWk	13517
TxWk-Het	13470
EnhA2-Het	12263
Quies-EnhA2	10192
Quies-EnhA1	9791
TssBiv-TssBiv	9639
ReprPC-TxWk	9220
EnhA1-Het	8618
EnhA2-EnhBiv	8407
ReprPCWk-EnhA2	8372
TssA-Quies	8289
EnhA1-EnhBiv	8134
ReprPCWk-EnhA1	7670
Quies-TssA	7610
TssA-TssBiv	6501
EnhBiv-EnhA1	5429
TssA-ReprPCWk	4337
ReprPC-EnhA2	4253
Het-EnhA2	4090
TssBiv-TssA	3879
Het-EnhA1	3838
ReprPC-EnhA1	3830
EnhBiv-EnhA2	3787
ReprPCWk-TssA	3146
TssA-ReprPC	3008
Tx-ReprPCWk	2815
Tx-Het	2535
ReprPCWk-Tx	2226
Het-Tx	2140
ReprPC-TssA	1747
Tx-ReprPC	1265
ReprPC-Tx	1164
TssA-Het	488
Het-TssA	375
