Change	Original	Filtered	Removed	Removal_Rate
EnhA1-EnhA2	35839	14334	21505	60.0%
EnhA1-EnhBiv	8134	3214	4920	60.5%
EnhA1-EnhWk	53242	19507	33735	63.4%
EnhA1-Het	8618	3717	4901	56.9%
EnhA1-Quies	84798	39107	45691	53.9%
EnhA1-ReprPC	14212	5454	8758	61.6%
EnhA1-ReprPCWk	37418	16040	21378	57.1%
EnhA2-EnhA1	63171	42365	20806	32.9%
EnhA2-EnhBiv	8407	5613	2794	33.2%
EnhA2-EnhWk	50713	36724	13989	27.6%
EnhA2-Het	12263	8270	3993	32.6%
EnhA2-Quies	118814	82308	36506	30.7%
EnhA2-ReprPC	19512	11637	7875	40.4%
EnhA2-ReprPCWk	51965	33849	18116	34.9%
EnhBiv-EnhA1	5429	3110	2319	42.7%
EnhBiv-EnhA2	3787	2256	1531	40.4%
EnhWk-EnhA1	57227	28070	29157	50.9%
EnhWk-EnhA2	25584	15606	9978	39.0%
Het-EnhA1	3838	1268	2570	67.0%
Het-EnhA2	4090	1360	2730	66.7%
Het-TssA	375	146	229	61.1%
Het-Tx	2140	1055	1085	50.7%
Het-TxWk	13517	5229	8288	61.3%
Quies-EnhA1	9791	1745	8046	82.2%
Quies-EnhA2	10192	1850	8342	81.8%
Quies-TssA	7610	1091	6519	85.7%
ReprPC-EnhA1	3830	1159	2671	69.7%
ReprPC-EnhA2	4253	1140	3113	73.2%
ReprPC-TssA	1747	890	857	49.1%
ReprPC-Tx	1164	850	314	27.0%
ReprPC-TxWk	9220	4381	4839	52.5%
ReprPCWk-EnhA1	7670	2117	5553	72.4%
ReprPCWk-EnhA2	8372	2241	6131	73.2%
ReprPCWk-TssA	3146	1021	2125	67.5%
ReprPCWk-Tx	2226	1477	749	33.6%
ReprPCWk-TxWk	18799	6921	11878	63.2%
TssA-Het	488	361	127	26.0%
TssA-Quies	8289	5298	2991	36.1%
TssA-ReprPC	3008	1866	1142	38.0%
TssA-ReprPCWk	4337	2442	1895	43.7%
TssA-TssBiv	6501	2992	3509	54.0%
TssBiv-TssA	3879	702	3177	81.9%
Tx-Het	2535	1534	1001	39.5%
Tx-ReprPC	1265	850	415	32.8%
Tx-ReprPCWk	2815	2009	806	28.6%
Tx-TxWk	34918	11647	23271	66.6%
TxWk-Het	13470	6839	6631	49.2%
TxWk-ReprPC	16490	8477	8013	48.6%
TxWk-ReprPCWk	34854	18818	16036	46.0%
TxWk-Tx	17146	1683	15463	90.2%
TOTAL	921108	472640	448468	48.7%
