"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NOL4",64.9683351940053,-6.24179323516327,0.88165532573884,-7.07962970669128,1.44540158383323e-12,5.83797699710242e-09
"GSTA2",7773.50888263376,-4.10545582101818,0.69974068136369,-5.86711038869035,4.43455453338692e-09,8.25206804529959e-06
"DIRAS3",235.294297524142,-3.36407152626459,0.5911840234305,-5.6903965481741,1.26744681900686e-08,1.8335051784758e-05
"AL139385.1",126.978036359228,-3.35227448315856,0.590384828760525,-5.67811759356426,1.36185083818455e-08,1.8335051784758e-05
"SMPD3",174.728436667039,-2.85675223229526,0.512796561363236,-5.57092704502692,2.53387422861963e-08,3.19822437793584e-05
"AL390778.2",12.9961834051001,-4.59755091869271,0.894357418688744,-5.1406192005802,2.73834533695632e-07,0.000251367654908332
"IRF4",253.441758335379,-4.01946290226777,0.814123641862641,-4.93716518669278,7.92663284959459e-07,0.000577932522459467
"CYP26A1",230.367717088256,-4.3979843080051,0.8963556732938,-4.90651695419522,9.27079785435708e-07,0.000645599181616349
"ALDH1B1",12608.9719028731,-1.49395611101855,0.308071693200189,-4.84937806359169,1.23849173869954e-06,0.000833711355434576
"LINC00888",154.182170164297,-1.38291681631746,0.296504023383889,-4.66407437084581,3.1000925889974e-06,0.0017887534238515
"AC020978.4",102.542030504353,-2.22468461955809,0.479983379934529,-4.63492010882031,3.5707535831762e-06,0.00196782827869628
"BBOX1",1179.38009746043,-3.17148116273064,0.691287275292385,-4.58779045424963,4.47961936331137e-06,0.00226164782605183
"UPK1B",8.13942600581016,-4.45542175689598,0.987249671684313,-4.51296352349729,6.39280201261978e-06,0.00273467948221241
"COL28A1",10.3543103189191,-3.5210174440178,0.784345048976616,-4.48911795722035,7.15186887958421e-06,0.00280215132165914
"EGR3",87.7971591300498,-2.43066067476735,0.551935436541343,-4.40388587838984,1.06328892555346e-05,0.00370226204337106
"SLCO4C1",266.381358471109,-4.32069499871308,0.988292202770167,-4.37188008425266,1.23181179648039e-05,0.00407810479179039
"TDRD1",10.1165751920783,-4.51635501506666,1.04156477533926,-4.33612495545039,1.45016526532023e-05,0.00432304943850196
"BSPRY",79.109179908004,-3.61712961191456,0.841961965824715,-4.29607245782359,1.73850778655594e-05,0.00486736724093668
"CLEC12A",58.0117070640944,-2.17612589903716,0.508112121582334,-4.28276714253616,1.84583314341515e-05,0.00486736724093668
"CROCC2",19.2725255441408,-2.60836585726229,0.608791796751572,-4.2844957359481,1.83154121202105e-05,0.00486736724093668
"CCDC141",29.7738276600471,-3.49527594069092,0.818442553799866,-4.27064297239073,1.94910221496734e-05,0.00498254673813486
"SH3YL1",739.015462543968,-2.37432921741551,0.556934474867891,-4.26321106801428,2.01510010340434e-05,0.00508686832353133
"IGKV1-8",240.586893655378,-5.58003638631737,1.31122421949375,-4.25559282947944,2.08495835874956e-05,0.00519823877221571
"TCN1",26.0379873443286,-6.25615188644061,1.47889632937805,-4.23028427494417,2.33396174878677e-05,0.0056112330377082
"CXCL13",535.623809311168,-4.59574794265,1.09051629147646,-4.21428636928272,2.50569195877482e-05,0.00588400571016947
"C1orf210",316.833180806665,-2.89884902025442,0.692763381652868,-4.18447206799244,2.85829587988155e-05,0.0064136983660231
"IL10",12.6021681035514,-2.33529497147188,0.561076529358462,-4.16216834830369,3.15239799566766e-05,0.00670133447605352
"CASR",36.3269917550331,-3.40337807825878,0.820727502734134,-4.14678205241195,3.37180744872565e-05,0.00701996406464067
"FOXP3",337.647233204699,-3.280826431264,0.797685946746628,-4.11292996278158,3.90668935863864e-05,0.00734226554891965
"PKP3",48.9346951784418,-3.85612324411599,0.93746924809465,-4.11333305274101,3.89987103730726e-05,0.00734226554891965
"SLC22A7",15531.2185900595,-1.68218489948299,0.410387001119973,-4.09902091170577,4.14901551809258e-05,0.00768709801723666
"CMTM6",4020.56267501944,-1.25712745070511,0.307552964372576,-4.08751531063835,4.36017909132575e-05,0.00793277628372283
"SRD5A1",3874.9546890861,-1.51291213224792,0.378184101900384,-4.00046465371097,6.32182297544804e-05,0.0101324773800931
"LINC00907",42.0871683890482,-4.33891664064761,1.09086112342101,-3.97751514605314,6.96391883048105e-05,0.0109872141235598
