"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CPLX2",390.729837954044,8.39202314190199,0.992040089736229,8.45935887947162,2.68851473556763e-17,5.42945550847883e-13
"LINC01338",32.3725082285346,23.1339467970729,3.02717438521941,7.64209254347139,2.1371946973823e-14,2.15803234568178e-10
"AC105118.1",25.4085657599047,22.8083592430687,3.0274444972168,7.53386536533929,4.9259917870544e-14,3.31601347131879e-10
"DUSP9",291.075286002996,4.38662403892542,0.59793681944007,7.33626680329405,2.19633977869471e-13,1.10887704576849e-09
"COL15A1",461.105742094144,4.09837002278248,0.587199941689522,6.97951367466153,2.96203601078587e-12,9.96971953963678e-09
"CAMK2N2",279.157637133555,4.53793308369717,0.67070375627508,6.76592764128787,1.32457736173867e-11,3.82140568861607e-08
"DIPK2B",271.684181436669,2.49749983519272,0.371696442993673,6.71919218563853,1.82734765272216e-11,4.61291073084049e-08
"PLVAP",2962.09622127712,3.39040944613301,0.534315071264563,6.34533747683539,2.21938385915847e-10,4.98005078174502e-07
"PTP4A3",1092.66972213123,3.43520756257713,0.585725996177657,5.86487126232177,4.49481299818249e-09,8.25206804529959e-06
"ECEL1",1208.86136843713,8.73724812640758,1.50563540134158,5.80303048043526,6.51269466535042e-09,1.09603223972293e-05
"ANKRD65",401.24540827322,4.14899229331192,0.730540878775979,5.67934309201637,1.35213021378973e-08,1.8335051784758e-05
"PEA15",3303.58519326589,1.34731222324457,0.246054152418827,5.47567358648436,4.35850462180614e-08,5.17764710808089e-05
"THBS4",92.0710929030497,4.5321751958814,0.844494684791181,5.36673027966076,8.01768161111495e-08,8.9953933409148e-05
"IGF2BP1",525.229342072953,8.03458898202013,1.50178599615265,5.35002257485657,8.79432609883365e-08,9.34744292452345e-05
"DYNC1I1",501.803266078015,5.96540237882883,1.14230130335827,5.2222669809542,1.76745894391515e-07,0.000177496433611123
"GABRD",90.5784091949242,4.66027230833642,0.893758569348734,5.21424070007215,1.84571681398048e-07,0.000177496433611123
"CD34",1123.67600895869,1.87578402880088,0.375109961699688,5.00062440437834,5.71449410733443e-07,0.000501757428250517
"SQLE",2036.76426536395,2.62079870042748,0.52598744044691,4.9826260075729,6.27271160883844e-07,0.000506709643761969
"THEM5",120.806289913149,2.86370948269798,0.574024539575459,4.98882762889534,6.07468184573445e-07,0.000506709643761969
"SEPTIN3",37.626859201384,3.30861977604299,0.665251480523206,4.9734872794884,6.57590907430685e-07,0.000510771091367795
"CA4",76.5799334484188,5.40272385674923,1.09476527276584,4.93505228120695,8.01292925420405e-07,0.000577932522459467
"NT5DC2",359.215981036278,2.11152077235922,0.436921398027666,4.83272456302431,1.34677060352848e-06,0.000877355881879276
"PLXDC1",49.7403771540716,1.87140787941776,0.392902294931697,4.76303626514345,1.90701552415867e-06,0.00120350557844951
"SPINK5",25.3185273319361,3.30833226110418,0.698082599063494,4.73917021501817,2.14595184574658e-06,0.0013132575007531
"EBF2",21.8987112660947,3.94101226568991,0.839506400411092,4.69443980863047,2.67338310565021e-06,0.00158791093584135
"VWF",3354.87573685207,2.50224748460111,0.540745373008415,4.62740433760896,3.70277170539532e-06,0.00196782827869628
"SFN",375.298433229234,4.80492504008718,1.03743380002025,4.63154857687632,3.62940817623702e-06,0.00196782827869628
"PDGFB",429.226764946823,1.17549285842482,0.255450865243304,4.6016397607627,4.19177739006417e-06,0.00217058831775246
