Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__regulation of transcription by RNA polymerase II (GO:0006357),0.25548733244658256,2.423714501145168,0.0,0.019398985760790133,0.016,97/243,23.86%,PHF2;ISX;MRTFA;ZNF124;ZNF669;TCEA1;ZNF251;SENP1;HIRA;LRP5;PPP1R12A;RHOQ;ZNF250;RBL1;CEBPZ;ZNF2;ZGPAT;ZNF394;LMO7;ZNF256;ZNF417;ZNF587;ZNF776;ZNF211;ZNF530;ZNF419;ELP3;AASS;ACTR3;ZNF805;ZNF845;ZNF816;ZNF432;ZNF577;ZNF772;ZNF749;ZNF548;ZNF304;SETD3;ZNF473;SP110;CREB1;ZNF234;ZNF283;ZNF780B;ZFP30;ZNF175;ARID1B;ZSCAN9;ZNF165;ZNF184;ZNF101;ZNF197;TRAK1;RFX1;ZNF791;ZNF564;ZNF563;ZNF878;ZNF383;ZNF599;ZSCAN32;ZFP62;ETV5;ZNF561;ZNF426;ZNF317;SUPT3H;CDC5L;ZNF557;TFDP2;NOD2;ARID3A;MIER2;DLG1;ZNF397;FNIP2;WWP2;AATF;WWC2;FNIP1;ZNF286A;BRIP1;ZNF275;ZNF778;BCOR;ZNF436;FOXJ3;ZNF684;MLLT10;ZNF22;HDAC8;ZNF37A;ZNF79;ZNF189;TBL1X;PPARA
prerank,Reactome_2022__RHO GTPase Effectors R-HSA-195258,0.5319226750261233,2.3113556600968446,0.0,0.0290984786411852,0.048,11/19,20.69%,PTK2;MRTFA;CENPA;PPP1R12A;YWHAQ;RHOQ;ARHGEF7;ACTR3;ABI2;NDC80;CENPE
prerank,Reactome_2022__Gene Expression (Transcription) R-HSA-74160,0.2492771707703078,2.1125742825174854,0.0,0.10022809309741569,0.204,68/162,24.17%,ZNF124;ZNF669;TCEA1;TAF4;TNFRSF10A;TAF1B;YWHAQ;MSH2;GTF2E2;ZNF250;RBL1;ZNF394;ZNF256;ZNF417;ZNF587;ZNF776;ZNF211;ZNF530;ZNF419;ZNF460;ZNF432;ZNF577;ZNF772;ZNF749;ZNF548;ZNF304;ZNF473;CREB1;NUP210;ZNF234;TJP1;ZFP30;ZNF175;CDK6;ARID1B;ZNF184;ZNF101;ZNF197;ING5;ZNF791;ZNF564;ZNF563;ZNF383;ZNF599;ZSCAN32;ZNF200;ZNF561;ZNF426;ZNF317;ZNF557;TFDP2;ARID3A;PRELID3A;DROSHA;ZNF286A;BRIP1;ZNF778;ZNF436;ZNF684;PRKAA2;HDAC8;ZNF37A;ZNF79;ZNF189;TBL1X;PPARA;NOTCH3;G6PC1
prerank,KEGG_2021_Human__Herpes simplex virus 1 infection,0.2755593567699717,2.1064983161321953,0.0,0.07759594304316053,0.208,51/109,23.40%,PIK3CD;ZNF124;ZNF669;ZNF251;ZNF250;ZNF2;ZNF256;ZNF417;ZNF587;ZNF211;ZNF530;ZNF419;ZNF460;ZNF805;ZNF845;ZNF816;ZNF432;ZNF577;ZNF772;ZNF749;ZNF548;ZNF304;TRAF3;ZNF473;ZNF234;ZNF283;ZNF780B;ZFP30;ZNF175;ZNF184;ZNF101;ZNF791;ZNF564;ZNF563;ZNF878;ZNF383;ZNF599;ZSCAN32;ZNF200;ZNF561;ZNF426;ZNF317;ZNF557;ZNF286A;ZNF275;ZNF778;ZNF436;ZNF684;ZNF37A;ZNF79;ZNF189
prerank,MSigDB_Oncogenic_Signatures__RAPA EARLY UP.V1 DN,0.47175721398915493,2.1024625530140595,0.0,0.06401665301060744,0.216,15/18,42.08%,SNTB1;YTHDF3;TAF4;COG5;NUP210;ZNF175;MICU1;MYCN;IGFBP3;SF3A2;COL9A2;LRIG1;PCBP4;SNTA1;SMAD9
prerank,Reactome_2022__Generic Transcription Pathway R-HSA-212436,0.2546517101995094,2.098685846241693,0.0,0.05415550191553912,0.216,64/150,24.17%,ZNF124;ZNF669;TCEA1;TAF4;TNFRSF10A;YWHAQ;MSH2;ZNF250;RBL1;ZNF394;ZNF256;ZNF417;ZNF587;ZNF776;ZNF211;ZNF530;ZNF419;ZNF460;ZNF432;ZNF577;ZNF772;ZNF749;ZNF548;ZNF304;ZNF473;CREB1;ZNF234;TJP1;ZFP30;ZNF175;CDK6;ARID1B;ZNF184;ZNF101;ZNF197;ING5;ZNF791;ZNF564;ZNF563;ZNF383;ZNF599;ZSCAN32;ZNF200;ZNF561;ZNF426;ZNF317;ZNF557;TFDP2;ARID3A;PRELID3A;ZNF286A;BRIP1;ZNF778;ZNF436;ZNF684;PRKAA2;HDAC8;ZNF37A;ZNF79;ZNF189;TBL1X;PPARA;NOTCH3;G6PC1
prerank,Reactome_2022__RNA Polymerase II Transcription R-HSA-73857,0.24297943057820157,2.0343153355754247,0.0,0.0796744058032452,0.332,65/156,24.17%,ZNF124;ZNF669;TCEA1;TAF4;TNFRSF10A;YWHAQ;MSH2;GTF2E2;ZNF250;RBL1;ZNF394;ZNF256;ZNF417;ZNF587;ZNF776;ZNF211;ZNF530;ZNF419;ZNF460;ZNF432;ZNF577;ZNF772;ZNF749;ZNF548;ZNF304;ZNF473;CREB1;ZNF234;TJP1;ZFP30;ZNF175;CDK6;ARID1B;ZNF184;ZNF101;ZNF197;ING5;ZNF791;ZNF564;ZNF563;ZNF383;ZNF599;ZSCAN32;ZNF200;ZNF561;ZNF426;ZNF317;ZNF557;TFDP2;ARID3A;PRELID3A;ZNF286A;BRIP1;ZNF778;ZNF436;ZNF684;PRKAA2;HDAC8;ZNF37A;ZNF79;ZNF189;TBL1X;PPARA;NOTCH3;G6PC1
prerank,Elsevier_Pathway_Collection__Proteins Involved in non-Alcoholic Fatty Liver Disease,0.43370239445074377,2.0171824262261517,0.0,0.08183947117833337,0.368,18/19,48.80%,SLC27A2;ACACA;PPARA;SLC13A5;PNPLA3;ELOVL6;NR1I2;HGF;APOE;LGALS3;IL1RN;FOSL2;SERPINE1;PTGS2;TRPV1;FOSL1;TIMP3;RBP4
prerank,"GO_Biological_Process_2021__regulation of transcription, DNA-templated (GO:0006355)",0.2146840485243531,2.0013262859839682,0.0,0.0872954359235556,0.416,89/243,23.86%,ZNF326;PHF2;ISX;CDC45;ZNF124;ZNF669;ZNF251;HIRA;PRMT2;LRP5;YWHAQ;ZNF250;ZNF2;ZGPAT;ZNF394;ZNF256;ZNF417;ZNF587;ZNF776;ZNF211;ZNF530;ZNF419;ELP3;ZNF460;ZNF805;ZNF845;ZNF816;ZNF432;ZNF577;ZNF772;ZNF749;ZNF548;ZNF304;SETD3;ZNF473;SP110;CREB1;ZNF234;ZNF283;ZNF780B;ZFP30;ZNF175;ARID1B;ZSCAN9;ZNF165;ZNF184;ZNF101;ZNF197;TRAK1;ING5;NEK4;RFX1;ZNF791;ZNF564;ZNF563;ZNF878;ZNF383;ZNF599;ZSCAN32;ZFP62;ETV5;ZNF561;ZNF426;ZNF317;VGLL4;SUPT3H;CDC5L;ZNF557;TFDP2;ARID3A;ZNF397;WWP2;AATF;WWC2;ZNF286A;BRIP1;ZNF275;ZNF778;BCOR;ZNF436;FOXJ3;ZNF684;ZNF22;ZNF37A;NIBAN2;ZNF79;ZNF189;TBL1X;PPARA
prerank,"Reactome_2022__Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",0.2901737990965205,1.9717555507964046,0.008620689655172414,0.0945700555838519,0.472,27/61,26.64%,PTK2;MRTFA;SENP1;CENPA;PPP1R12A;YWHAQ;RHOQ;ARHGEF7;PKP4;RALGAPA1;ACTR3;ABI2;SLC4A7;TRAK1;RAB7A;RBBP6;NDC80;WWP2;DEPDC1B;CENPE;FNBP1;ARHGAP12;MOSPD2;PLEKHG5;ARHGAP39;BAIAP2L2;CKAP4
