Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Elsevier_Pathway_Collection__Natural Killer Cell Precursor -> Natural Killer Cell Surface Expression Markers,-0.6276856248154914,-2.365312775955935,0.0,0.0,0.0,45/73,18.36%,LAG3;CXCR1;FPR1;CD69;IL7R;FASLG;NCR1;KIR3DL2;KLRC1;FPR2;IL18RAP;FCRL6;CD38;PDGFRA;NCAM1;CD1D;STX11;CCR7;NCR3;SEMA4D;CD96;CD48;PTPRC;FCGR3A;CD300A;TLR8;CD2;CD40LG;NTRK1;LILRB1;CD274;SYK;CD226;KLRK1;CXCR3;LTA;LILRB4;ITGB2;TNFSF8;CD6;KIR2DS4;LILRB2;CD33;SLAMF1;CD19
prerank,Elsevier_Pathway_Collection__Proteins Involved in Acne Vulgaris,-0.6875874303294796,-2.345333288178165,0.0,0.0028032479998092216,0.004,28/40,15.75%,TAC1;CYP26A1;CSF3;IL10;PTGS2;IFNG;CD4;TNF;PTH1R;FASLG;SRD5A1;CD80;IL18;NGFR;FGFR2;FOXO1;SHBG;IL1RN;CXCL8;TLR4;TLR2;AKT1;CAMP;MAL;PSTPIP1;IGF1;CD83;TNFRSF1B
prerank,Reactome_2022__Interleukin-10 Signaling R-HSA-6783783,-0.6679886965751473,-2.331872225976973,0.0,0.0037376639997456287,0.008,29/43,18.49%,CSF3;IL10;CXCL10;PTGS2;TNF;IL1B;CCL5;FPR1;CD80;CCR5;CCL4;CCL3;IL18;CXCL2;CCL2;IL6;CCR1;IL12B;IL1RN;CCR2;CXCL8;CCL22;CSF2;CD86;TNFRSF1B;IL10RA;CXCL1;PTAFR;LIF
prerank,GO_Biological_Process_2021__B cell receptor signaling pathway (GO:0050853),-0.7176981628745212,-2.3276865502750805,0.0,0.0028032479998092216,0.008,24/34,18.36%,IGLL5;IGLL1;CD79A;CD38;ITK;PIK3CD;NFAM1;CTLA4;PRKCB;PTPRC;MS4A1;RFTN1;BLK;MNDA;BTK;LCK;NCKAP1L;SYK;LAT2;PLCG2;BMX;VAV3;BCL2;CD19
prerank,KEGG_2021_Human__Staphylococcus aureus infection,-0.6380564809909768,-2.3249837981466084,0.0,0.002242598399847377,0.008,47/68,24.54%,KRT39;IL10;KRT23;FCAR;KRT15;KRT36;KRT19;KRT14;FPR1;FPR2;FCGR3B;DEFB1;KRT16;FCGR3A;C4A;FCGR2B;HLA-DQA2;MBL2;PLG;C1QC;C1R;HLA-DOB;CAMP;FPR3;CFI;C1QB;ITGB2;HLA-DQA1;PTAFR;C3AR1;SELPLG;C1S;C1QA;C5;HLA-DOA;HLA-DRB5;KRT13;SELP;HLA-DRA;MASP1;ITGAM;HLA-DPA1;C3;HLA-DPB1;CFD;C4B;HLA-DRB1
prerank,WikiPathway_2021_Human__Allograft Rejection WP2328,-0.6188632434865076,-2.324671985149739,0.0,0.0018688319998728144,0.008,50/80,24.54%,CXCL13;FOXP3;IL10;CXCL11;IFNG;TNF;IL1B;FASLG;LRRK2;CD80;CXCL9;C9;PDGFRA;C7;C6;CTLA4;CXCL12;PRF1;CD40LG;ABCB1;IL12B;C4A;HLA-DQA2;CXCL8;C1QC;HLA-DOB;C1QB;CD86;CASP7;HLA-DQA1;C8A;GZMB;C8B;C1QA;C5;PECR;AGTR1;HLA-DOA;PRKCZ;HLA-DRB5;GNLY;CD55;HLA-DRA;CD40;STAT1;HLA-DPA1;C3;HLA-DPB1;C4B;HLA-DRB1
prerank,Elsevier_Pathway_Collection__CD8+ Naive T-cell -> CD4+ Naive T-cell Surface Expression Markers,-0.6996880674352257,-2.310645678965115,0.0,0.0032037119997819674,0.012,21/35,14.96%,CCR9;CD4;CD27;CD69;IL7R;CD80;KLRC1;BTLA;CCR5;CD38;CXCR6;ICOS;CCR7;CTLA4;PTPRC;PRF1;CD40LG;TLR2;CCR4;CXCR3;CXCR4
prerank,Elsevier_Pathway_Collection__Natural Killer Cell Inhibitory Receptor Signaling,-0.602015905828682,-2.3056714362094684,0.0,0.0028032479998092216,0.012,23/50,18.93%,KIR2DL1;KLRD1;KIR3DL2;KLRC1;TIGIT;SIGLEC7;MAP2K1;SIGLEC9;KLRB1;FYN;LCP2;CD300A;LILRB1;LCK;DOK2;LAT;SYK;PLCG2;VAV1;VAV3;ZAP70;INPP5D;KIR3DL1
prerank,Reactome_2022__Drug ADME R-HSA-9748784,-0.5719039974628038,-2.2948352983646267,0.0,0.0024917759998304193,0.012,41/89,17.38%,GSTA2;CYP2C19;UGT2A1;GGT6;UGT1A5;GLYATL3;SLC28A3;BCHE;GLYATL2;CYP2C8;SLC22A7;GLYAT;GSTA1;PCK1;ADH1A;UGT1A9;SLC22A1;UGT2B7;GLYATL1;XDH;SLCO1B3;SLC28A2;CYP2C9;ALB;UGT2B28;UGT2B10;ABCB1;SLCO2B1;PON3;SULT1C4;CYP3A4;UGT2A3;ACSM5;PON1;SULT2A1;SLCO1B1;VAV1;UGT2B15;TPMT;VAV3;UGT1A7
prerank,GO_Biological_Process_2021__regulation of T cell proliferation (GO:0042129),-0.5682913567711875,-2.2711881624083,0.0,0.002803247999809222,0.016,37/71,18.36%,FOXP3;IL10;RIPK3;IL1B;PNP;CCL5;CD80;IL27;VTCN1;IL15;CD1D;PLA2G2D;LGALS3;VSIG4;PTPRC;CD3E;IL6;CR1;CD40LG;IL12B;LILRB1;CD274;PDCD1LG2;SPN;NCKAP1L;SFTPD;VCAM1;TNFRSF13C;CD86;TNFRSF1B;LILRB4;TNFSF8;CD6;LILRB2;CLC;TNFRSF21;AIF1
