gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromatin_change,change_score,combined_score
GSTA2,7773.50888263376,-4.10545582101818,0.69974068136369,-5.86711038869035,4.43455453338692e-09,8.25206804529959e-06,Tx-Het,-4,-4.052727910509089
IGF2BP1,525.229342072953,8.03458898202013,1.50178599615265,5.35002257485657,8.79432609883365e-08,9.34744292452345e-05,ReprPC-Tx,3,5.517294491010065
ZSWIM5,491.15658249929,3.95945169116517,0.882380578936459,4.48723803048514,7.21524479951845e-06,0.0028021513216591,Het-Tx,4,3.979725845582585
GJC1,70.5087485189782,1.61587973478579,0.392022114845716,4.12190964130106,3.75744590651145e-05,0.0073422655489196,ReprPC-Tx,3,2.307939867392895
NOTCH3,957.284376606196,1.4098300860487,0.35763551848113,3.94208632307053,8.07758920089461e-05,0.0118622374436709,ReprPC-Tx,3,2.20491504302435
ARHGAP39,93.7316975893129,1.19700624922052,0.310970997682976,3.84925365432576,0.0001184782699736,0.0149512981239566,ReprPC-Tx,3,2.09850312461026
GSTA1,37158.1552402655,-1.63539928716576,0.434206001050225,-3.76641336879312,0.0001656095116323,0.0181992306090823,Tx-Het,-4,-2.81769964358288
CELSR3,98.8254265631046,2.91092820457119,0.802721774561987,3.62632271456642,0.0002874860345768,0.0259186628048199,ReprPCWk-Tx,2,2.455464102285595
TM6SF2,797.298047712253,-1.19771024247568,0.333723757138491,-3.58892711967954,0.0003320416416651,0.0285343870358615,Tx-ReprPCWk,-2,-1.5988551212378401
THY1,958.750034157137,2.7846594460406,0.777505161268661,3.58153178237023,0.0003415855734626,0.0288632663434212,ReprPC-Tx,3,2.8923297230203
VAX2,9.80662206902122,3.26127457678056,0.917525356961624,3.55442446580467,0.0003788073047935,0.0306000540812222,ReprPCWk-Tx,2,2.6306372883902798
KCNC1,18.5751028970605,5.80938893993168,1.64263890393734,3.5366195978963,0.0004052829540433,0.0314681105392593,ReprPCWk-Tx,2,3.90469446996584
ITGA2,310.214730493678,2.46084979562105,0.708311762203995,3.47424669041754,0.000512289810677,0.0356748025055974,ReprPCWk-Tx,2,2.2304248978105248
EPB41L4A,98.4219534879583,-1.96410270820343,0.570450770703138,-3.4430713552766,0.0005751475405755,0.0383336784881927,Tx-ReprPCWk,-2,-1.9820513541017148
PLPPR1,881.330227889752,2.98251656856499,0.889344006895805,3.35361406321864,0.0007976353069979,0.0472382552047612,ReprPCWk-Tx,2,2.491258284282495
EVA1A,3441.56166443033,-0.803924158552851,0.24531236747949,-3.27714483706194,0.0010486256333332,0.0563685471826368,Tx-Het,-4,-2.4019620792764256
FOSB,3167.87114559724,-3.21705807488965,0.984206725678509,-3.26868125461328,0.0010804994714502,0.0571222168218266,Tx-ReprPCWk,-2,-2.608529037444825
IRAK2,798.202210230192,1.32634710594718,0.40699452404146,3.25888194459361,0.0011185220196588,0.0583063161901763,Het-Tx,4,2.66317355297359
CENPE,74.2857329538019,2.07504894564048,0.638650828529629,3.24911336984856,0.0011576533036132,0.0594880622556457,Het-Tx,4,3.03752447282024
HOXD3,4.39334165902195,4.86121579898301,1.50291302472045,3.23452902398475,0.0012184353598856,0.0610868054328314,ReprPCWk-Tx,2,3.430607899491505
SEZ6L2,1960.17627597557,3.55535326729886,1.10766848088171,3.20976296487988,0.0013284447152768,0.0648174846829074,ReprPC-Tx,3,3.2776766336494303
SLC7A8,470.191967229961,-1.73879896104747,0.555349895699578,-3.13099718666031,0.001742138294458,0.0741124978045012,Tx-ReprPC,-3,-2.369399480523735
DEPDC1,43.5112012233348,2.29801428796403,0.738896423293255,3.11006281194569,0.0018704756341902,0.0759789375589547,ReprPCWk-Tx,2,2.149007143982015
CENPA,23.4307752671189,2.18909623813909,0.70498860151471,3.10515125129072,0.0019018174646026,0.0761129868932529,Het-Tx,4,3.094548119069545
TUFT1,317.329529082561,1.06765750773796,0.345455610103392,3.09057799761428,0.0019976732945605,0.0773150504128097,ReprPCWk-Tx,2,1.5338287538689799
FAM20B,2125.82531145973,0.800738718939317,0.265714198113867,3.01353380671128,0.0025822426936068,0.0862036292377092,Het-Tx,4,2.4003693594696585
AXIN2,555.445843721004,3.07980571014312,1.02528860959968,3.0038427046855,0.0026659311518541,0.0875422432710477,ReprPCWk-Tx,2,2.53990285507156
FBN3,86.7164995027074,4.23841721502408,1.42411939665912,2.97616704397615,0.0029187583096346,0.0916707994760057,ReprPC-Tx,3,3.61920860751204
ASPHD1,275.51492670512,3.15238103396319,1.0707654522795,2.94404440043546,0.0032395352083555,0.0970658954491699,ReprPCWk-Tx,2,2.576190516981595
